Date,PM10,PM2.5,Wind speed,Wind dir,Temp,Rel hum,index,,
2013-12-18,91.58333333,62.375,0.9125,27,23.65833333,62,3.752083333,18-12-13,TRUE
2013-12-19,110.4583333,77.20833333,0.945833333,24.20833333,25.36666667,62,3.660763889,19-12-13,TRUE
2013-12-20,115.8333333,82.125,0.770833333,36.16666667,22.45833333,62,3.648926768,20-12-13,TRUE
2013-12-21,107.625,76.70833333,0.704166667,30.54166667,21.95416667,62,3.070486111,21-12-13,TRUE
2013-12-22,94.45833333,70.5,0.75,23.95833333,21.61666667,62,2.825347222,22-12-13,TRUE
2013-12-23,132.5,95.125,0.704166667,16.08333333,22.77083333,62,3.455208333,23-12-13,TRUE
2013-12-24,149.125,107.625,0.6,20.125,23.4125,62,4.241098485,24-12-13,TRUE
2013-12-25,148.75,99.5,0.65,38.54166667,22.82916667,62,4.025915404,25-12-13,TRUE
2013-12-26,170.5833333,124.1666667,0.6125,52.58333333,22.4125,62,3.761805556,26-12-13,TRUE
2013-12-27,174.0833333,129.1666667,0.525,31.25,21.825,62,3.080902778,27-12-13,TRUE
2013-12-28,163,129.875,0.529166667,84.33333333,21,62,1.200378788,28-12-13,TRUE
2013-12-29,138.25,115.4583333,0.525,33.41666667,21.44166667,62,0.652777778,29-12-13,TRUE
2013-12-30,125.4782609,108.2608696,0.5,43.69565217,22.69130435,62,0.765217391,30-12-13,TRUE
2013-12-31,120.875,102.3333333,0.504166667,26.91666667,23.425,62,0.743402778,31-12-13,TRUE
2014-01-01,126.75,107.9166667,0.545833333,153.2916667,23.175,62,0.722916667,01-01-14,TRUE
2014-01-02,132.3333333,109.7916667,0.583333333,162.25,23.64583333,62,1.234122475,02-01-14,TRUE
2014-01-03,178.3333333,145.6666667,0.7125,160.0833333,24.575,62,2.08125,03-01-14,TRUE
2014-01-04,180.9583333,140.6666667,0.4875,171.7916667,24.78333333,62,1.325,04-01-14,TRUE
2014-01-05,136.4583333,106.5416667,0.641666667,162.6666667,25.76666667,62,0.910416667,05-01-14,TRUE
2014-01-06,149.8333333,112.125,0.679166667,175.375,26.12083333,62,3.028472222,06-01-14,TRUE
2014-01-07,95.75,74.66666667,1.204166667,188.375,27.825,62,3.389583333,07-01-14,TRUE
2014-01-08,130.4166667,89.875,1.258333333,186.125,29.34166667,62,3.804166667,08-01-14,TRUE
2014-01-09,165.1666667,121.8333333,0.775,111.4583333,27.95,62,3.925,09-01-14,TRUE
2014-01-10,95.16666667,57.33333333,0.695833333,91.875,26.84583333,62,4.297916667,10-01-14,TRUE
2014-01-11,122.2083333,78.33333333,0.475,89.375,26.47083333,62,2.601388889,11-01-14,TRUE
2014-01-12,110.9166667,67.75,0.695833333,45.625,26.4125,62,1.461805556,12-01-14,TRUE
2014-01-13,111.0833333,68.25,0.483333333,92.45833333,25.4375,62,3.546117424,13-01-14,TRUE
2014-01-14,87.16666667,52.20833333,0.733333333,70.33333333,24.43333333,62,5.440755772,14-01-14,TRUE
2014-01-15,120.9166667,78.5,0.4875,71.45833333,23.01666667,62,5.650694444,15-01-14,TRUE
2014-01-16,126.2916667,83.33333333,0.55,87.125,22.40833333,62,4.905934343,16-01-14,TRUE
2014-01-17,151.8333333,104.9583333,0.483333333,59.70833333,23.26666667,62,4.714078283,17-01-14,TRUE
2014-01-18,93.08333333,63.20833333,1.1,98.79166667,23.775,62,3.592361111,18-01-14,TRUE
2014-01-19,111.5416667,83.91666667,0.916666667,57.29166667,23.10416667,62,2.974352904,19-01-14,TRUE
2014-01-20,128.125,94.5,0.645833333,36.83333333,22.69583333,62,4.718055556,20-01-14,TRUE
2014-01-21,118.125,80,0.775,55.75,23.41666667,62,5.073125,21-01-14,TRUE
2014-01-22,155,111.2083333,0.920833333,83.58333333,21.06666667,62,4.922569444,22-01-14,TRUE
2014-01-23,188.1363636,135.1818182,0.563636364,33.18181818,19.9,62,5.001067493,23-01-14,TRUE
2014-01-24,199.9166667,149.125,0.820833333,195,21.43333333,62,5.301041667,24-01-14,TRUE
2014-01-25,196.5,157.875,0.620833333,127.125,22.17083333,62,4.400694444,25-01-14,TRUE
2014-01-26,161.6666667,129.8333333,0.6,150.5416667,23.5875,62,3.2625,26-01-14,TRUE
2014-01-27,205.25,172.5416667,0.508333333,164.0416667,24.77083333,62,4.932828283,27-01-14,TRUE
2014-01-28,174.826087,145.2608696,0.773913043,203,25.84782609,62,5.314492754,28-01-14,TRUE
2014-01-29,95.75,73.20833333,0.591666667,213.5,26.15416667,62,5.34375,29-01-14,TRUE
2014-01-30,79.25,63.25,0.695833333,224.375,26.36666667,62,4.301988636,30-01-14,TRUE
2014-01-31,83.79166667,65.125,1.120833333,166.5,27.42916667,62,4.377367424,31-01-14,TRUE
2014-02-01,55.75,43.79166667,1.2,243,30.3,62,3.574431818,01-02-14,TRUE
2014-02-02,54.66666667,44.45833333,1.2,243,30.3,62,2.645643939,02-02-14,TRUE
2014-02-03,64.08333333,50.75,1.508333333,237.625,29.28333333,62,4.393781566,03-02-14,TRUE
2014-02-04,44.5,35.25,1.825,205.9583333,27.26666667,62,4.794097222,04-02-14,TRUE
2014-02-05,43.04166667,30.75,2.3125,210.75,27.29583333,62,4.604166667,05-02-14,TRUE
2014-02-06,43.04166667,30.79166667,1.9375,212.9166667,27.45833333,62,4.40334596,06-02-14,TRUE
2014-02-07,29.95833333,20.54166667,2.141666667,211.7083333,27.35416667,62,4.70785083,07-02-14,TRUE
2014-02-08,26.33333333,19.83333333,1.9,216.1666667,27.175,62,3.808680556,08-02-14,TRUE
2014-02-09,41.04166667,31.75,1.141666667,237.7916667,27.375,62,2.635763889,09-02-14,TRUE
2014-02-10,53.29166667,41.875,1.0625,202.5416667,27.39166667,62,4.116666667,10-02-14,TRUE
2014-02-11,34.54166667,24.91666667,1.625,209.1666667,27.07083333,62,4.299652778,11-02-14,TRUE
2014-02-12,27.45833333,21.5,1.945833333,215.5833333,27.82916667,62,4.292708333,12-02-14,TRUE
2014-02-13,30.41666667,19.625,1.883333333,214.875,27.99166667,62,4.860069445,13-02-14,TRUE
2014-02-14,31.33333333,22.08333333,1.6125,218.875,27.97083333,62,2.643402778,14-02-14,TRUE
2014-02-15,31.41666667,20.375,1.854166667,221.8333333,27.87083333,62,2.595833333,15-02-14,TRUE
2014-02-16,32.95833333,20.79166667,2.9,209,26.5,62,2.251736111,16-02-14,TRUE
2014-02-17,43,26.27272727,2.490909091,212.3181818,28.21818182,62,4.191046832,17-02-14,TRUE
2014-02-18,39.95833333,25.54166667,1.979166667,217.5833333,28.2625,62,4.444905303,18-02-14,TRUE
2014-02-19,37.58333333,26.33333333,1.629166667,212.0833333,28.40416667,62,4.419412879,19-02-14,TRUE
2014-02-20,65.45833333,42.75,1.529166667,150.375,26.6875,62,4.44542298,20-02-14,TRUE
2014-02-21,81.08333333,63.16666667,0.691666667,149.2916667,24.38333333,62,4.609375,21-02-14,TRUE
2014-02-22,109.9583333,82.25,0.883333333,188.6666667,26.975,62,3.979861111,22-02-14,TRUE
2014-02-23,36.70833333,28.66666667,1.65,215.75,28.14166667,62,2.760416667,23-02-14,TRUE
2014-02-24,48.16666667,37.83333333,1.416666667,228.875,27.89166667,62,3.846388889,24-02-14,TRUE
2014-02-25,38.29166667,24.79166667,1.845833333,214.0416667,28.12916667,62,4.385416667,25-02-14,TRUE
2014-02-26,41.16666667,28.5,1.8,214.0416667,27.88333333,62,4.633035714,26-02-14,TRUE
2014-02-27,39.33333333,26.29166667,2.141666667,211.875,28.13333333,62,4.739930556,27-02-14,TRUE
2014-02-28,33.125,23.29166667,1.804166667,216.625,28.1875,62,5.136458333,28-02-14,TRUE
2014-03-01,33.70833333,23.04166667,1.695833333,223.8333333,28.1,62,3.738888889,01-03-14,TRUE
2014-03-02,31.66666667,22.58333333,2.070833333,191.8,28.07083333,62,2.452777778,02-03-14,TRUE
2014-03-03,35.04166667,26.20833333,2.095833333,210.7083333,28.2,62,3.504861111,03-03-14,TRUE
2014-03-04,34.95833333,27.54166667,1.925,207.9166667,28.15,62,3.447569444,04-03-14,TRUE
2014-03-05,36.58333333,30.08333333,2.033333333,212.6666667,28.38333333,62,3.480208333,05-03-14,TRUE
2014-03-06,38.41666667,30.20833333,2.391666667,214.7916667,28.72916667,62,3.467329546,06-03-14,TRUE
2014-03-07,32,23.70833333,2.066666667,214.375,28.70833333,62,3.933333333,07-03-14,TRUE
2014-03-08,32.04166667,24.375,2.270833333,213.875,28.71666667,62,2.193402778,08-03-14,TRUE
2014-03-09,29.75,21.875,1.979166667,211.25,28.6875,62,1.161458333,09-03-14,TRUE
2014-03-10,35.33333333,25.33333333,2.395833333,212.2083333,28.9375,62,2.960763889,10-03-14,TRUE
2014-03-11,28.125,19.20833333,1.745833333,225.0833333,28.96666667,62,3.395833333,11-03-14,TRUE
2014-03-12,30.70833333,20.66666667,1.979166667,215.7083333,29.125,62,3.3125,12-03-14,TRUE
2014-03-13,41.375,26.66666667,1.9625,211.625,29.2875,62,3.25,13-03-14,TRUE
2014-03-14,39.41666667,27.54166667,1.945833333,208.3333333,29.21666667,62,3.492385913,14-03-14,TRUE
2014-03-15,30.91666667,21.875,1.4875,219.8333333,29.63333333,62,2.020486111,15-03-14,TRUE
2014-03-16,31.08333333,21.04166667,1.220833333,207.1666667,29.99166667,62,1.066319445,16-03-14,TRUE
2014-03-17,34.25,22.25,1.9375,218.4166667,30.125,62,3.214930556,17-03-14,TRUE
2014-03-18,28.20833333,14.5,1.870833333,219.25,30.15833333,62,3.498263889,18-03-14,TRUE
2014-03-19,36.83333333,21.16666667,2.029166667,213.1666667,30.37916667,62,3.407118056,19-03-14,TRUE
2014-03-20,33.58333333,22.75,2.6,208.7083333,31.15833333,62,3.550902778,20-03-14,TRUE
2014-03-21,41.79166667,30.20833333,2.0125,202.875,29.99583333,62,3.869872836,21-03-14,TRUE
2014-03-22,33.41666667,24.29166667,1.941666667,206.9583333,29.41666667,62,2.346180556,22-03-14,TRUE
2014-03-23,33,23,0.5,241,27.175,62,0.6,23-03-14,TRUE
2014-03-24,65.35714286,45,1.214285714,238.0714286,31.11428571,62,4.096428571,24-03-14,TRUE
2014-03-25,34.125,21.58333333,1.654166667,217.5,30.23333333,62,3.791666667,25-03-14,TRUE
2014-03-26,30.70833333,18.16666667,1.870833333,213.5,30.225,62,3.651736111,26-03-14,TRUE
2014-03-27,31.54166667,17.83333333,2.208333333,211.125,30.25833333,62,3.360763889,27-03-14,TRUE
2014-03-28,33.23809524,20.9047619,2.342857143,210.2857143,29.81428571,62,3.853174603,28-03-14,TRUE
2014-03-29,29.79166667,16.33333333,2.533333333,208.2916667,30.11666667,62,2.731597222,29-03-14,TRUE
2014-03-30,14.83333333,6.833333333,2.408333333,211.25,30.50833333,62,1.713194445,30-03-14,TRUE
2014-03-31,12.625,4.75,2.3,213.2083333,30.38333333,62,3.742708333,31-03-14,TRUE
2014-04-01,21,12.08333333,2.283333333,211.4166667,30.39583333,62,4.354302399,01-04-14,TRUE
2014-04-02,21.91666667,15.08333333,2.375,207.625,30.7,62,0.6,02-04-14,TRUE
2014-04-03,22.41666667,15.41666667,2.3625,210.5833333,30.69166667,62,0.6,03-04-14,TRUE
2014-04-04,25.25,11.25,1.770833333,202.75,30.35416667,62,0.6,04-04-14,TRUE
2014-04-05,35.04166667,20.20833333,1.3,167.0833333,29.52916667,62,0.6,05-04-14,TRUE
2014-04-06,18.26086957,8.782608696,1.62173913,203.173913,30.0173913,62,0.6,06-04-14,TRUE
2014-04-07,24.83333333,11.875,1.754166667,223.4583333,31.00833333,62,0.6,07-04-14,TRUE
2014-04-08,53.25,30.625,1.729166667,244.125,31.20416667,62,0.6,08-04-14,TRUE
2014-04-09,64.66666667,40.70833333,1.729166667,227.3333333,31.38333333,62,0.6,09-04-14,TRUE
2014-04-10,67.25,46.70833333,1.8125,215.0833333,31.30833333,62,0.6,10-04-14,TRUE
2014-04-11,63.45833333,45.25,1.820833333,242.25,31.32916667,62,0.6,11-04-14,TRUE
2014-04-12,55.625,37.66666667,1.3875,202.8333333,30.72916667,62,0.6,12-04-14,TRUE
2014-04-13,46.25,35.5,1.091666667,173.9166667,29.89166667,62,0.6,13-04-14,TRUE
2014-04-14,34.45833333,25.54166667,1.408333333,204.125,30.76666667,62,0.6,14-04-14,TRUE
2014-04-15,28.125,20.08333333,1,207,29.925,62,0.6,15-04-14,TRUE
2014-04-16,27.45833333,20.5,1.5375,207.7916667,30.85,62,0.6,16-04-14,TRUE
2014-04-17,31.58333333,21.45833333,1.404166667,230.2916667,31.5125,62,0.6,17-04-14,TRUE
2014-04-18,25.91666667,16.33333333,1.7375,216.6666667,31.6,62,0.6,18-04-14,TRUE
2014-04-19,20.5,12.66666667,1.995833333,212.9583333,31.51666667,62,0.6,19-04-14,TRUE
2014-04-20,15.58333333,9.208333333,2.195833333,213.0416667,31.5375,62,0.6,20-04-14,TRUE
2014-04-21,16.125,8.875,1.720833333,217.7083333,31.50833333,62,0.6,21-04-14,TRUE
2014-04-22,14.83333333,8.916666667,1.829166667,215.4166667,31.6875,62,0.6,22-04-14,TRUE
2014-04-23,29.5,19.5,1.75,217,32.24583333,62,0.6,23-04-14,TRUE
2014-04-24,29.33333333,19.91666667,2.004166667,224.625,31.35416667,62,0.6,24-04-14,TRUE
2014-04-25,27.54166667,16.16666667,1.670833333,222.8333333,31.52916667,62,0.6,25-04-14,TRUE
2014-04-26,15.04166667,8.958333333,2.366666667,209.9166667,31.68333333,62,0.6,26-04-14,TRUE
2014-04-27,24.77777778,11,1.055555556,234.3333333,29.91111111,62,0.6,27-04-14,TRUE
2014-04-28,21.25,13,1.65,204.75,31.95833333,62,0.6,28-04-14,TRUE
2014-04-29,22.20833333,13.16666667,1.745833333,203.125,30.95416667,62,0.6,29-04-14,TRUE
2014-04-30,19.91666667,10.66666667,1.804166667,215.375,30.36666667,62,0.6,30-04-14,TRUE
2014-05-01,16.7826087,11.86956522,2.373913043,213.7826087,31.73913043,62,0.6,01-05-14,TRUE
